Bitrate 25 ({'one': 22}, {'frames': 900, 'elapsed': 22.39664316177368})
Bitrate 28 ({'one': 17}, {'frames': 900, 'elapsed': 23.02641201019287})
Bitrate 31 ({'one': 19}, {'frames': 900, 'elapsed': 22.31590509414673})
Bitrate 34 ({'one': 17}, {'frames': 900, 'elapsed': 21.816692113876343})
Bitrate 37 ({'one': 21}, {'frames': 900, 'elapsed': 20.70469307899475})
Bitrate 40 ({'one': 18}, {'frames': 900, 'elapsed': 19.427868127822876})
Bitrate 43 ({'one': 15}, {'frames': 900, 'elapsed': 17.722213983535767})
Bitrate 46 ({'one': 12}, {'frames': 900, 'elapsed': 15.264090776443481})
Bitrate 49 ({'one': 15}, {'frames': 900, 'elapsed': 13.373237133026123})
Bitrate 52 ({'one': 13}, {'frames': 900, 'elapsed': 12.630851030349731})
Bitrate 55 ({'one': 13}, {'frames': 900, 'elapsed': 12.410182237625122})
Bitrate 58 ({'one': 13}, {'frames': 900, 'elapsed': 12.153507709503174})
